PlaceId,CityId,PlaceName,Country,Address,Zipcode,Latitude,Longitude,PlaceType,BusyHoursSun,BusyHoursMon,BusyHoursTue,BusyHoursWed,BusyHoursThu,BusyHoursFri,BusyHoursSat,RaceWhite,RaceBlack,RaceAsian,RaceLatino,RaceIndian,GenderMale,GenderFemale,GenderOthers,InterestGay,InterestStraight,InterestBisexual,PriceRange,PhoneNumber,CreatedDate,shortcode,GooglePlaceName,Timewait,Rating,Rating_n,CurrentPopularity,TimeSpent,GoogleMapLocation,FacebookLink,TimeZone,Neighborhood,AverageTimeSpent,BatchName,InstagramHandle,InstagramLocation,new_column
DFA23D18-5562-4ABB-A2B2-08D986677A2A,E775291E-9969-4374-8146-0F33B9F3C2DD,Knott's Berry Farm,US,"Knott's Berry Farm, 8039 Beach Blvd, Buena Park, CA 90620, United States",90620,33.8443038,-118.0002265,"Amusement Parks, Venues & Event Spaces","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",20,20,20,20,20,45,45,10,15,70,15,$,+1 714-220-5200,10/3/2021 18:42,,Knotts Berry Farm 8039 Beach Blvd,,4.6,45625.0,,,https://www.google.com/maps/place/Knott's+Berry+Farm/data=!4m2!3m1!1s0x80dd295ff57f78a3:0xae8e394e901e3055!10m1!1e1,/url?q=https://www.knotts.com/&sa=U&ved=0ahUKEwiLvIvZqK7zAhUyheYKHZw6DqEQ61gIFSgQMAA&usg=AOvVaw1gCKeWqQ0tw6VpmGoxl-f6,America/Los_Angeles,,,b-03-10-2021-18:29,,1472213,
38F47782-2293-4106-A293-08D986677A2A,E775291E-9969-4374-8146-0F33B9F3C2DD,Aquarium of the Pacific,US,"Aquarium of the Pacific, 100 Aquarium Way, Long Beach, CA 90802, United States",90802,33.7625243,-118.1967038,"Aquariums, Venues & Event Spaces, Community Service/Non-Profit","86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,45,68,84,92,96,100,98","86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,31,46,58,64,65,61,53","40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,27,42,53,57,56,50,41","30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,28,40,49,52,51,47,40","30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,29,43,53,56,53,47,39","30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,29,43,54,59,58,54,48","40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,43,63,80,90,95,97,95",20,20,20,20,20,45,45,10,15,70,15,$,+1 562-590-3100,10/3/2021 18:39,,Aquarium of the Pacific 100 Aquarium Way,,4.6,23929.0,,"90, 210",https://www.google.com/maps/place/Aquarium+of+the+Pacific/data=!4m2!3m1!1s0x80dd313032cc7cb5:0x96dadf4782e15e96!10m1!1e1,http://www.aquariumofpacific.org/,America/Los_Angeles,Downtown,People typically spend 1.5-3.5 hours here,b-03-10-2021-18:29,,3001779,
64399545-20FB-4095-A29C-08D986677A2A,E775291E-9969-4374-8146-0F33B9F3C2DD,The Queen Mary,US,"The Queen Mary, 1126 Queens Hwy, Long Beach, CA 90802, United States",90802,33.7526356,-118.1903235,"Hotels, Venues & Event Spaces","64,56,48,42,36,30,24,18,13,9,9,3,7,9,9,9,9,10,12,12,11,9,7,6","8,12,16,16,12,5,2,2,2,2,2,2,2,2,0,5,9,14,16,18,18,17,16,15","16,17,19,21,22,22,19,15,9,3,2,4,8,11,13,13,12,9,5,1,2,2,2,2","2,2,2,2,2,2,2,2,2,2,1,2,2,3,9,12,11,8,5,4,3,3,2,2","2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,1,1,0,0,1","3,6,10,14,16,17,15,11,6,1,2,10,8,9,11,13,17,20,21,22,21,19,17,15","15,16,18,21,23,25,25,23,21,17,13,12,20,31,45,61,76,88,96,100,98,92,84,74",20,20,20,20,20,45,45,10,15,70,15,$,+1 877-342-0738,10/3/2021 18:40,,The Queen Mary 1126 Queens Hwy,,4.4,21657.0,,"60, 60",https://www.google.com/maps/place/The+Queen+Mary/data=!4m2!3m1!1s0x80dd30d89c406b95:0x55db333697f8fe34!10m1!1e1,https://www.queenmary.com/,America/Los_Angeles,Queensway Bay,People typically spend up to 1 hour here,b-03-10-2021-18:29,,3000974,
96F6A352-FDD7-4E85-A255-08D986677A2A,E775291E-9969-4374-8146-0F33B9F3C2DD,San Pedro Fish Market and Restaurant,US,"San Pedro Fish Market and Restaurant, 1190 Nagoya Way, San Pedro, CA 90731, United States",90731,33.7336245,-118.2773883,"Seafood, Seafood Markets, Karaoke","66,59,46,28,0,0,0,0,0,0,0,0,0,0,0,0,16,37,65,89,100,99,95,88","76,61,42,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,19,30,38,41,38,35","32,26,18,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,11,17,22,23,22,21","20,16,11,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,11,17,22,24,23,21","20,17,12,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,11,17,21,23,23,22","21,17,12,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,14,22,28,30,28,26","26,25,21,14,0,0,0,0,0,0,0,0,0,0,0,0,11,22,38,55,69,75,74,70",20,20,20,20,20,45,45,10,15,70,15,$$,+1 310-832-4251,10/3/2021 18:17,,San Pedro Fish Market and Restaurant 1190 Nagoya Way,,4.3,16080.0,,,https://www.google.com/maps/place/San+Pedro+Fish+Market+and+Restaurant/data=!4m2!3m1!1s0x80dd36354347cbd7:0xda7068cbd2a0f7e4!10m1!1e1,https://www.sanpedrofish.com/locations/#sanpedro,America/Los_Angeles,San Pedro,,b-03-10-2021-18:08,,987305,
67728DB5-0D66-49CA-D4C6-08D973B2FD43,E775291E-9969-4374-8146-0F33B9F3C2DD,Los Angeles County Museum of Art,US,"Los Angeles County Museum of Art, 5905 Wilshire Blvd, Los Angeles, CA 90036, United States",90036,34.0639323,-118.3592293,Art Museums,"80,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,42,61,77,88,90,84","72,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,65,77,80,72,56","39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,64,73,76,68,50","32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,65,74,75,66,51","35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,54,63,69,71,71","69,66,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,53,73,89,99,100,93",20,20,20,20,20,45,45,10,15,70,15,$,+1 323-857-6000,9/9/2021 22:32,,Los Angeles County Museum of Art 5905 Wilshire Blvd,,4.6,14045.0,,"120, 120",https://www.google.com/maps/place/Los+Angeles+County+Museum+of+Art/data=!4m2!3m1!1s0x80c2b93cca9c7ab1:0x9b191d3aac3e37!10m1!1e1,/url?q=http://www.lacma.org/&sa=U&ved=0ahUKEwjSrIrfoK7zAhU77HMBHcW8D7cQ61gIFSgQMAA&usg=AOvVaw15HFvQjP8JKPRcicfOe7WV,America/Los_Angeles,Miracle Mile,People typically spend up to 2 hours here,b-03-10-2021-17:55,,3003060,
74B03EF3-EA65-45EE-12FD-08D986544582,E775291E-9969-4374-8146-0F33B9F3C2DD,Hollywood Bowl,US,"Hollywood Bowl, 2301 N Highland Ave, Los Angeles, CA 90068, United States",90068,34.112224,-118.3391279,"Music Venues, Stadiums & Arenas","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",20,20,20,20,20,45,45,10,15,70,15,$$$,+1 323-850-2000,10/3/2021 16:40,,The Hollywood Bowl 2301 N Highland Ave,,4.7,13834.0,,,https://www.google.com/maps/place/Hollywood+Bowl/data=!4m2!3m1!1s0x80c2bf1bc1270933:0x6a6f62cf3836e2fd!10m1!1e1,https://www.hollywoodbowl.com/,America/Los_Angeles,Hollywood Hills,,b-03-10-2021-18:29,,41999,
30B7115B-C410-4AE0-A286-08D986677A2A,E775291E-9969-4374-8146-0F33B9F3C2DD,The Forum,US,"The Forum, 3900 W Manchester Blvd, Inglewood, CA 90305, United States",90305,33.9582109,-118.3419015,"Music Venues, Stadiums & Arenas","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,20,18,14,10","6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,21,22,21,17,11","6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,24,25,24,21,16","11,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,28,31,32,32,34","47,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,26,27,26,25,24","26,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",20,20,20,20,20,45,45,10,15,70,15,$,+1 310-862-6200,10/3/2021 18:38,,The Forum 3900 W Manchester Blvd,,4.5,12156.0,,,https://www.google.com/maps/place/The+Forum/data=!4m2!3m1!1s0x80c2b6545d4575cb:0xb1eeeaa0c8fa6906!10m1!1e1,https://thelaforum.com/,America/Los_Angeles,Morningside Park,,b-03-10-2021-18:29,,308977716562585,
6F30B811-E8BA-4928-71B5-08D986707F9F,E775291E-9969-4374-8146-0F33B9F3C2DD,Philippe The Original,US,"Philippe The Original, 1001 N Alameda St, Los Angeles, CA 90012, United States",90012,34.0596793,-118.237038,"Sandwiches, Breakfast & Brunch, American (Traditional)","75,64,58,48,28,0,0,0,0,0,0,0,0,2,9,21,39,61,80,92,92,84,75,71","68,61,48,30,14,0,0,0,0,0,0,0,0,12,20,26,30,37,53,70,79,76,70,67","63,55,42,27,14,0,0,0,0,0,0,0,0,13,22,31,42,52,60,66,69,69,66,62","57,50,39,26,15,0,0,0,0,0,0,0,0,16,22,25,29,43,66,82,77,63,57,59","59,53,41,28,15,0,0,0,0,0,0,0,0,12,21,32,45,57,67,73,73,68,60,49","41,38,35,28,16,0,0,0,0,0,0,0,0,12,20,28,37,49,62,72,75,73,69,67","65,58,47,33,20,0,0,0,0,0,0,0,0,7,14,24,37,52,68,83,94,100,97,88",20,20,20,20,20,45,45,10,15,70,15,$,+1 213-628-3781,10/3/2021 19:10,,Philippe the Original 1001 N Alameda St,,4.6,8754.0,5.0,"25, 60",https://www.google.com/maps/place/Philippe+The+Original/data=!4m2!3m1!1s0x80c2c65b315cd377:0xa05d997b42357a5!10m1!1e1,/url?q=https://www.philippes.com/&sa=U&ved=0ahUKEwjP-dv8rq7zAhWyguYKHcFUCl8Q61gIFigQMAA&usg=AOvVaw2hpPXw7GiVah9QR0vC9_E-,America/Los_Angeles,Chinatown,People typically spend 25 min to 1 hr here,b-03-10-2021-19:02,,212978752,
45E69614-5323-40C3-199D-08D97C1771A7,E775291E-9969-4374-8146-0F33B9F3C2DD,Santa Fe Springs Swap Meet,US,"Santa Fe Springs Swap Meet, 13963 Alondra Blvd, Santa Fe Springs, CA 90670, United States",90670,33.8906862,-118.0345573,"Music Venues, Flea Markets, Food Stands","0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,20,35,50,61,66,66,60,44","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,6,6,5,4,2,1,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,7,7,6,4,3,2,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,14,17,17,14,11,7,4,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12","23,42,71,98,100,73,0,0,0,0,0,0,0,0,2,6,13,22,33,42,46,44,38,29",20,20,20,20,20,45,45,10,15,70,15,$,+1 562-921-4359,9/20/2021 15:30,,Santa Fe Springs Swap Meet 13963 Alondra Blvd,,4.5,7790.0,,"60, 150",https://www.google.com/maps/place/Santa+Fe+Springs+Swap+Meet/data=!4m2!3m1!1s0x80dd2c96c0fb00c9:0xf9a168519b271384!10m1!1e1,http://www.sfsswapmeet.com/,America/Los_Angeles,,People typically spend 1-2.5 hours here,b-20-09-2021-14:46,,218184,
A1E88DF9-E51E-44F9-A221-08D986677A2A,E775291E-9969-4374-8146-0F33B9F3C2DD,Walt Disney Concert Hall,US,"Walt Disney Concert Hall, 111 S Grand Ave, Los Angeles, CA 90012, United States",90012,34.0553454,-118.249845,"Performing Arts, Music Venues","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,62,67,64,55,43,31,22","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,81,86,81,68,51,36,25","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,85,92,94,85,65,43,26","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,91,100,98,85,66,47,31","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,78,74,66,55,44,34,25","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",20,20,20,20,20,45,45,10,15,70,15,$,+1 323-850-2000,10/3/2021 18:04,,LA Phil at Walt Disney Concert Hall 111 S Grand Ave,,4.7,7639.0,,,https://www.google.com/maps/place/Walt+Disney+Concert+Hall/data=!4m2!3m1!1s0x80c2c64d9fbb11d3:0xb3728c2c3bff31b0!10m1!1e1,/url?q=http://www.laphil.com/&sa=U&ved=0ahUKEwi735ycoK7zAhXL6XMBHfzTDFQQ61gIFSgQMAA&usg=AOvVaw3XtWBJOmJKJk1pKde2tOt_,America/Los_Angeles,Downtown Los Angeles,,b-03-10-2021-17:55,,212978705,
